URL,Price,Address,Bedrooms,Bathrooms,House_Size,Land_Size,Description
https://ikman.lk/en/ad/swimming-pool-with-luxury-villas-house-in-piliyandala-area-for-sale-colombo,69000000,Kesbewa,5,5,"2,800.0 sqft",20.0 perches,✳️ Brand New Super Luxury Modern Villa’s For Sale in Kesbewa Piliyandala.✅ 100 meters to Colombo Horana 120 Road✅ 5 minutes to Kesbewa Junction✅ 5 minutes to Kahatuduwa Highway✅ 8 minutes to Piliyanda
https://ikman.lk/en/ad/modern-house-for-sale-in-thalawathugoda-for-sale-colombo-717,200000000,,9,8,"9,000.0 sqft",20.0 perches,"luxury New House for sale in Thalawathugoda€12 bedrooms€8  Bathrooms€20 Perch€8250 SqftThe construction of this house was completed at the end of 2019. it has a basement, ground floor, 1st floor, and "
https://ikman.lk/en/ad/luxury-house-for-sale-in-Kesbewa-junction-for-sale-colombo,39000000,Kesbewa,4,4,"2,680.0 sqft",6.2 perches,"✅ පිලියන්දල ටවුමට නුදුරුව, කැස්බැව හංදියට ඇවිදින දුරින් පිහිටි අංගසම්පුර්න අලුත්ම අලංකාර දෙමහල් නිවස ඉක්මනින් විකිනීමට..✅ කොළඹ බන්ඩරගම 162 බස් පාරට මීටර් 150යි. කැස්බෑව හංදියට මීටර් 350 යි.✅ 150 meter"
https://ikman.lk/en/ad/kaduwela-nawagamuwa-two-story-luxury-house-for-sale-for-sale-colombo-1,19000000,Kaduwela  Nawagamuwa,4,2,"2,280.0 sqft",10.5 perches,TWO STORY HOUSE FOR SALE IN KADUWELA  NAWAGAMUWA.🔹▪️🔹▪️🔹▪️🔹# perch 10.5▪️Sqft 2280.🔹4 bedroom🔹2 bathroom🔹Hot Water🔹tv lobby🔹balcony🔹full till🔹finishing rof🔹3 vehicle parking space .🔹Roll get And wikat
https://ikman.lk/en/ad/single-storied-best-house-sale-athurugiriya-for-sale-colombo-6,22000000,"Galwarusawa Rd, Athurugiriya",3,2,"1,366.0 sqft",8.15 perches,"Single Storied  House For Sale Galwarusawa Road, Athurugiriya8.15 Perches & 1366 SQ FtCOC Approved20 Ft Road3 Bedrooms( Master Bed Attached)2 Bathrooms( Hot Water )Living / Dining AreaFinishing roofPa"
https://ikman.lk/en/ad/brand-new-house-in-kottawa-for-sale-for-sale-colombo-3,31000000,Diyagama,5,4,"2,800.0 sqft",10.0 perches,"(Sake-1862026)Luxury 3 story brand new house for sale in kottawa, 280 horana-maharagama road2km to Institute of Technology University of Moratuwa(Diyagama)2.5km to Mattegoda Town4km to Kottawa Highway"
https://ikman.lk/en/ad/two-storey-house-for-sale-in-wellampitiya-for-sale-colombo-800,13000000,Sadaham Mawatha Wellampitiya,4,2,"1,500.0 sqft",3.0 perches,Two Storey House for Sale in Wellampitiya. AA 986Location - Sadaham Mawatha✓ 2 Storey House with 2 Units✓ 3 Perches✓ 4 Bedrooms✓ 2 Bathroom✓ Clear Documents✓ Parking Facilities Available¶Price :-LKR 1
https://ikman.lk/en/ad/lssn-demhl-nivsk-vikinimtt-kaaesbaaev-for-sale-colombo,32000000,කෑස්බෑව  කහතුඩුව  කොරලඉම,4,3,"2,680.0 sqft",14.0 perches,BRAND NEW TWO STOREY HOUSE FOR SALE IN Kesbewa  KAHTUDUWA KORLIMA.+++++++++++++++++++++++++++++++📌️please call me🔹pech 14🔹lks 320🌠4 bedroom🌠2 bathroom .🌠Hot Water🌠full till🌠finishing rof🌠Complete Pant
https://ikman.lk/en/ad/th278-brand-new-single-storey-house-for-sale-in-malabe-for-sale-colombo-1,19500000,Malabe Koratota,3,2,"1,200.0 sqft",7.0 perches,"￭ Peaceful surrounding, Exclusive Neighborhood🟩 Property Features⭕️ 03 bedrooms⭕️ 01 bathrooms⭕️ Living area⭕️ Dining area⭕️ TV Lobby⭕️ Outdoor Bathroom⭕️ Kitchen with Pantry🟩 Amenities⭕️ Tiled Floors"
https://ikman.lk/en/ad/p268-luxury-3-story-house-for-sale-in-boralesgamuwa-for-sale-colombo-29,49500000,Boralesgamuwa,4,6,"3,500.0 sqft",7.0 perches,"Peaceful surrounding, Exclusive Neighborhood20 Feet wide RoadLand extent⭕️ 7 perches with COC all clear documents4 Large bedroomssizes .⭕️ 15 ×15 on suite⭕️ 15 ×12 on suite⭕️ 15 ×12 on suite⭕️ 13 ×12 "
https://ikman.lk/en/ad/luxury-living-in-a-prime-gated-community-baththaramulla-for-sale-colombo,65000000,Baththaramulla,5,4,"3,250.0 sqft",11.6 perches,"(SE1666)🏡 Modern Luxury Family Home in Prime Battaramulla – Koswatta 🌿✨💰 Price – Rs. 65,000,000 – 65 Million – 650 Lakhs (Negotiable)🏠 Property Type – House📍 Location – Battaramulla, Koswatta (Gated C"
