URL,Price,Address,Bedrooms,Bathrooms,House_Size,Land_Size,Description
https://ikman.lk/en/ad/spacious-4-bedroom-house-for-sale-thalawathugoda-kalalgoda-for-sale-colombo-2,65000000,Thalawathugoda,4,4,"3,800.0 sqft",18.85 perches,"(SE1684)🏡✨ Spacious 4-Bedroom House for Sale – Thalawathugoda, Kalalgoda ✨🏡💰 Price: Rs. 65,000,000 – 65 Million – 650 Lakhs (Negotiable)📍 Location: Kalalgoda Weera Mawatha, Thalawathugoda📏 Size:Land: "
https://ikman.lk/en/ad/two-storey-house-for-sale-in-wellampitiya-for-sale-colombo-798,50000000,Adikaram Mawatha Wellampitiya,8,4,"4,000.0 sqft",10.5 perches,Three-Storey House for Sale in Wellampitiya. AA 645Location - Adikaram Mawatha✓ 10.5 Perches✓ 8 Bedrooms✓ 4 Bathrooms✓ 3 Storey House with 4 Units✓ 500m Distance to Wellampitiya Avissawella✓ Clear Doc
https://ikman.lk/en/ad/brand-new-stylish-modern-luxury-house-kesbewa-for-sale-colombo,39800000,Kesbewa Polduwa,4,3,"2,500.0 sqft",10.0 perches,Brand-New Stylish Modern Luxury House Kesbewa Polduwa* Single Storied House With a Roof-Top* 10 p* 2500 SQFT* 4 Bedrooms* 3 Bathrooms ( Hot-Water )* 1 Servant Toilet* Wooden Deck Connecting to a Secon
https://ikman.lk/en/ad/house-with-studio-type-annex-walking-distance-to-parliament-rd-kotte-for-sale-colombo,85000000,"Close to Sri Jayawardhanapura Mawatha, Kotte",4,3,"3,600.0 sqft",16.0 perches,"ETHUL KOTTE, Just Next to PARLIAMENT ROADWell Maintained Two Storied Spacious House with Studio Model Annex - Walking Distance to  Parliament RoadArchitecturally designed two storied house consists of"
https://ikman.lk/en/ad/almost-brand-new-house-for-sale-athurugiriya-for-sale-colombo,29500000,Athurugiriya,4,3,"2,506.0 sqft",6.18 perches,"Almost Brand-New House For Sale From AthurugiriyaAddress: AthurugiriyaBedrooms: 4Bathrooms: 3House size: 2,506.0 sqftLand size: 6.2 perchesDescription* House is facing to a 20 feet Access Road* Built "
https://ikman.lk/en/ad/af276-brand-new-02-story-house-with-07-p-sale-at-moratuwa-for-sale-colombo,26000000,Near OLV Convert Moratuwa,3,3,"2,000.0 sqft",7.0 perches,Brand New 02 Story House With 07 P Sale At Near OLV Convert Moratuwa🧿07 P🧿2000 Sq.Ft🧿The lane is a 12 Feet lane.🧿03 Bed Room 03 Bath Room🧿The land is 07 perches.🧿Upstairs03 bedrooms🧿2 bathrooms one ba
https://ikman.lk/en/ad/two-storey-house-for-sale-in-wellampitiya-for-sale-colombo-791,14500000,Temple Road Buthgamuwa,4,3,"1,500.0 sqft",5.0 perches,"Two Story House for Sale in Wellampitiya. AA 278Location - Temple Road, Buthgamuwa✓ 2 Story House with 2 Units✓ 5 Perches✓ 4 Bedrooms✓ 3 Bathrooms ( 1 attached and 2 common)✓ Clear Documents✓ Upstairs"
https://ikman.lk/en/ad/s1329-single-storey-house-for-sale-in-madiwela-kotte-for-sale-colombo-1,49000000,Madiwela,3,1,"2,100.0 sqft",13.8 perches,"￭ Peaceful surrounding, Exclusive Neighborhood￭ 20Ft Wide Road🟩 Property Features⭕️ 03 bedrooms⭕️ 01 bathrooms⭕️ Living area⭕️ Dining area⭕️ TV Lobby⭕️ Kitchen with Pantry🟩 Amenities⭕️ Tiled Floors⭕️ "
https://ikman.lk/en/ad/single-storey-house-for-sale-madinnagoda-ds5518-for-sale-colombo,43000000,Rajagiriya Madinnagoda,3,2,"2,800.0 sqft",19.0 perches,Single story house .Land 19 pechers .House 2800 Sqft .3 bedrooms 2  bathrooms 1 kitchen .living and dinning area .location madinnagoda . To rajagiriya main town 1700 M .per perche  price 28.5 LkS.pric
https://ikman.lk/en/ad/under-construction-house-for-sale-in-mellawagedara-p4-for-sale-colombo,19500000,Mellawagedara,3,2,"3,403.0 sqft",12.5 perches,🏕️පන්නල - මැල්ලවගෙදර ප්‍රධාන පාරෙන් අංග සම්පූර්ණ නවීන දෙමහල් නිවසක හිමිකරුවෙකු වන්නපොලී රහිත මාසික ගෙවීම් ක්‍රම සමඟ ඔබේ නිවාස සිහිනය සැබෑවක් කරගන්න👉Price: 19.5 Million Rupees👉1.9 Million Discount for 
https://ikman.lk/en/ad/modern-family-haven-athurugiriya-for-sale-colombo-3,24000000,Athurugiriya,3,2,"1,250.0 sqft",6.7 perches,"(PR1553)🏡 Brand-New 3BR House for Sale – Galwarusa, Athurugiriya 🌿✨📍 Location: Galwarusa Road, Athurugiriya – 3 km to Athurugiriya Town💰 Price: Rs. 2,400,000 – 24 Million – 240 Lakhs📐 Land Size: 6.7 P"
https://ikman.lk/en/ad/af285-2-story-house-at-thalawathugoda-kalalgoda-road-for-sale-colombo,135000000,"Thalawathugoda, Kalalgoda road,",4,3,"3,000.0 sqft",50.2 perches,"Thalawathugoda, Kalalgoda road, 50.2 perches land with Architect designed 2 story house.🚧3000 sqft built on a solid land in a higher elevation. No threats of floods.🚧20 feet road🚧4 Bedrooms (All AC) &"
https://ikman.lk/en/ad/jlgaeliim-rhit-prdeeshyk-alutm-pvul-nivs-kortott-for-sale-colombo-1,19500000,,3,2,"2,100.0 sqft",7.0 perches,🏡✨ Modern Newly–Built House for Sale – Korathota (Kongahawatta Road)⭕️ 100% Flood-Free Area ⭕️✨ Completed & Ready to Move In ✨Deepthi Tharaka🔹 Property Details📍 Colombo District📐 7 Perches🛏️ 03 Bedroo
https://ikman.lk/en/ad/elegant-fully-furnished-family-home-in-kalalgoda-for-sale-colombo,87000000,Thalawathugoda,4,4,"4,516.0 sqft",9.8 perches,"(SE1394) 🏡 Fully Furnished Modern Luxury House for Sale in Kalalgoda, Thalawathugoda✨ A Rare Gem in a Prestigious Neighborhood – Just Move In and Start Living!Presenting a stunning 4-bedroom, 5-bathro"
https://ikman.lk/en/ad/new-designed-brand-house-in-malabe-for-sale-colombo-13,38500000,Malabe,4,4,"2,600.0 sqft",7.5 perches,Brand New Luxury Two Storied House Sale Malabe7.5 Perches & 2600 SQ Ft20 Ft Road4 Bedrooms3 BathroomsServant Bathroom & RoomModern PantrySpacious Living / DiningBalconiesPipe Born Water / Electricity2
https://ikman.lk/en/ad/ip434-architectural-design-super-luxury-house-for-sale-for-sale-colombo,200000000,Heart of Nugegoda Main Road Facing,8,6,"8,000.0 sqft",26.0 perches,💚Architectural Design Super Luxury House for Sale in Heart of Nugegoda Main Road Facing💚Architectural Design Super Luxury House in Heart of Nugegoda's most demanded prime residential neighborhoods wit
https://ikman.lk/en/ad/brand-new-modern-two-storied-house-for-sale-athurugiriya-for-sale-colombo,35000000,Athurugiriya,3,3,"1,300.0 sqft",6.8 perches,"Brand New Modern Two storied house for sale athurugiriya .3 bed room,2 attached bath room and one common bath room.solar power.if need can arrange store room,servent toilet and wet kitchen ,servent ro"
https://ikman.lk/en/ad/single-storey-house-for-sale-in-colombo-09-for-sale-colombo-45,77500000,Veluwana Place Dematagoda,3,1,"1,800.0 sqft",10.18 perches,Single Storey Old House for Sale in Colombo 09. AA 1102Location - Veluvana Place Dematagoda✓ 10.18 Perches✓ 3 Bedrooms✓ 1 Bathroom✓ Highly Residential area✓ Parkig facilities available✓ Clear Document
https://ikman.lk/en/ad/af79-single-storey-house-for-sale-in-maharagama-for-sale-colombo,46000000,Wategedra Road Maharagama,3,2,"2,000.0 sqft",13.0 perches,13 P With 03 Beds 02 Bath Single Story house for sale in Wategedra Road Maharagama💚Land extent is 13 purchase.03 Bed Room 02 Bath RoomLiving / Dining / PantryWet Kitchen/ Servent Bath Room / Store  Ro
https://ikman.lk/en/ad/brand-new-two-story-house-for-sale-boralasgamuwa-for-sale-colombo-69,52500000,Boralasgamuwa Bokundara Maharagama rd,4,3,"2,750.0 sqft",10.0 perches,200m to Bokundara Maharagama rd2km to Bokundara junction20ft Rd Facing Super House10.perch landBrand new Two Story HouseModern Architecture Design HouseStandard Materials and fittings4.bedroom 3.bathr
https://ikman.lk/en/ad/af466-house-for-sale-at-pagod-road-stanly-thilakarathna-mw-nugegoda-for-sale-colombo,270000000,"pagod road, Stanly thilakarathna mw ,",5,5,"9,000.0 sqft",30.0 perches,"( Access from pagod road, Stanly thilakarathna mw)💚floor area excluding rooftop balcony 9000 sq.ft💚rooftop balcony over 600 sq.ft💚fully landscaped garden💚black kumbuk timber floor.💚5 large bedrooms wi"
https://ikman.lk/en/ad/modern-luxury-2-story-house-for-sale-boralesgamuwa-for-sale-colombo-81,55000000,Boralasgamuwa,4,3,"3,200.0 sqft",13.0 perches,"(SE1614)✨🏡 Modern Luxury 2-Story House for Sale – Boralesgamuwa 🏡✨💰 Price: Rs. 55,000,000 – 55 Million – 550 Lakhs (Negotiable)🏠 Property Type: House📍 Location: Gangarama RD, Boralesgamuwa📐 Size: 13 P"
https://ikman.lk/en/ad/03-storied-luxury-house-for-sale-kahathuduwa-for-sale-colombo-1,39000000,Kahathuduwa,6,5,"4,100.0 sqft",7.0 perches,• 6 bed rooms• 5 bath rooms• Private balcony for rooms• Two separate parking slots and two roller door• separate electricity and water meter• Hot water and Air conditions• Tv lobby• Two kitchen and pa
https://ikman.lk/en/ad/nsb-brand-new-super-luxury-house-for-sale-in-thalawathugoda-for-sale-colombo,39000000,Hokandara  city,4,3,"3,200.0 sqft",6.2 perches,BRAND  NEW   LUXURY  HOUSE  FOR SALE IN  TALAWATUGODA  HOKANDARAඋස්  බිම් පුදේශයකි  ආපදා නොමැත__________________________________________PRICE  laks  390  Million  3920 FEET  WIDE ACCESS ROAD__________
https://ikman.lk/en/ad/battaramulla-4-a-c-br-157p-luxury-house-for-sale-at-kowatta-for-sale-colombo,60000000,"Kelsey Homes, Walpola road,pelatino hill Aggona, Koswatta",4,3,"3,700.0 sqft",15.7 perches,"Code : SMSM 207( Please Mention this code number when you are  calling to us)(මෙම දේපළ ගැන ගැන වැඩිදුර විස්තර දැනගැනීමට අපට කතා කරන විට, ඉහත සඳහන් කෝඩ් එක, අප වෙත පවසන්න.)Two story, Four bedrooms with"
https://ikman.lk/en/ad/two-story-house-for-sale-in-boralasgamuwa-for-sale-colombo-8,42500000,Gangarama Road Boralesgamuwa,6,3,"2,793.0 sqft",15.0 perches,"Property Overview:Location: Gangarama Road, Werahera, Boralesgamuwa.Price: LKR 42,500,000 (Negotiable)Bedrooms: 6Bathrooms: 3House Size: 2,793.75 sqftLand Size: 15.0 perchesKey Features:Two-storey hou"
https://ikman.lk/en/ad/af486-13-p-with-single-story-house-sale-at-thalawathugoda-for-sale-colombo,35750000,Dharmapala Mawatha Thalawathugoda,3,2,"1,800.0 sqft",13.0 perches,13 P with Single Story House Sale At Dharmapala Mawatha Thalawathugoda🛵13 perches🛵1800 Sq.ft🛵3 Bed Room🛵2 Bath Room🛵Living / Dining /Pantry With Kitchen Etc …🛵Single Story  house.🛵Not occupied for 9 m
https://ikman.lk/en/ad/brand-new-two-storey-house-in-malabe-for-sale-colombo-7,34500000,Malabe,3,3,"2,100.0 sqft",7.0 perches,"(PR1586)Brand New Two-Storey House in Malabe💰 Price: Rs. 34,500,000 – 34.5 Million – 345 Lakhs (Negotiable)💰 Price: Contact for Price – Negotiable🏠 Property Type: House (Luxury Two-Storey)📍 Location: "
https://ikman.lk/en/ad/luxury-2-storey-house-for-sale-in-colombo-7-for-sale-colombo,230000000,,4,4,"4,240.0 sqft",10.0 perches,"□ 500m to BMICH□ Peaceful Environment & Respectable Neighborhood□ Clear Documents Available● Land Size: 10 Perches● House Size: 4,240 Sq.Ft● 2-Story House● 4 Bedrooms (All with Attached Bathrooms)● Fu"
https://ikman.lk/en/ad/brand-new-three-storey-solid-house-in-polgasowita-for-sale-colombo,43000000,Polgasowita,4,4,"3,000.0 sqft",6.0 perches,✅ වාස්තුවිද්‍යානූකූලව ප්‍රමිතිමත් අමුද්‍රව්‍යයන් යොදා ඉදිකල නවීන පන්නයේ අලුත්ම තෙමහල් නිවසක් විකිණීමට පොල්ගස්ඕවිට කොට්ටාව බස් පාරට ආසන්නව✅ වර්ග අඩි 3000 කට වඩා විහිදුනු ඉඩ පරාසය✅ ඉඩකඩ සහිත නිදනකාමර හත
https://ikman.lk/en/ad/brand-new-house-in-kottawa-for-sale-for-sale-colombo-3,31000000,KOTTAWA,5,4,"2,800.0 sqft",10.0 perches,"(Sake-1862026)Luxury 3 story brand new house for sale in kottawa, 280 horana-maharagama road2km to Institute of Technology University of Moratuwa(Diyagama)2.5km to Mattegoda Town4km to Kottawa Highway"
https://ikman.lk/en/ad/single-story-house-for-sale-in-kottawa-for-sale-colombo-95,19500000,"Off Kudamaduwa - Siyambalagoda Road, Kottawa",3,2,"2,550.0 sqft",8.5 perches,"Single Story House for Sale in Kottawa. BR 1920Location: Off Kudamaduwa - Siyambalagoda Road, KottawaProperty Overview:* Land Extent: 8.5 Perches* Bedrooms: 3* Bathrooms: 2* Single-story fully complet"
https://ikman.lk/en/ad/house-for-sale-in-gorakana-moratuwa-for-sale-colombo-1,30000000,,4,3,"1,684.0 sqft",12.12 perches,"* This Residential property built as 2 units.* Extent of Main house and Annex 1684 Sq ft* Main house consists of Sitting/ Dining room, 3 Bedrooms, 2 Bathrooms, Pantry, and Kitchen.* Annex consists of "
https://ikman.lk/en/ad/thalawathugoda-house-for-sale-for-sale-colombo-182,160000000,Thalawathugoda,4,4,"7,000.0 sqft",45.0 perches,(SE962) Luxurious 4-Bedroom House for Sale Thalawathugoda✨ **Property Details:**- **Bedrooms:** 4- **Bathrooms:** 4- **House Size:**7000 sqft- **Land Size:** 45 perches🏡 **Luxurious 4-Bedroom House fo
https://ikman.lk/en/ad/two-storey-house-for-sale-in-nugegoda-abuldaniya-for-sale-colombo-1,75000000,Nugegoda  Abuldaniya,4,4,"2,880.0 sqft",19.5 perches,TWO STOREY HOUSE FOR SALE  IN NUGEGODA ABULDANIYA .*************************🔹🔹************************📍4 bedroom📍3 barthrooms .📍Hot water .📍tv lobby .📍balcony📍Complete pantry with kitchen📍Living Area📍
https://ikman.lk/en/ad/single-story-3-bedrooms-house-for-sale-in-piliyandala-kesbewa-for-sale-colombo-2,18500000,Makandana,3,2,"1,134.0 sqft",9.5 perches,𝐖𝐞𝐥𝐥 𝐦𝐚𝐢𝐧𝐭𝐚𝐢𝐧𝐞𝐝 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬 𝐡𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐬𝐚𝐥𝐞 𝐢𝐧 𝐏𝐢𝐥𝐢𝐲𝐚𝐧𝐝𝐚𝐥𝐚 𝐊𝐞𝐬𝐛𝐚𝐰𝐚 (Bandaragama road)පිළියන්දල කැස්බෑව හන්දියට ආසන්නයෙන් මාකන්දනින් මෑතකදී සාදන ලද නිදන කාමර 3ක් සහ නාන කාමර 2ක තනිමහල් නිවස විකිනීමට.පොළව
https://ikman.lk/en/ad/homagama-5br-85p-fully-furnished-luxury-house-for-sale-in-panagoda-for-sale-colombo-2,153000000,"Ambulgama road, Leyland junction, Panagoda , Homagama",5,2,"4,000.0 sqft",85.0 perches,"Code : RMSM 741( Please Mention this code number when you are  calling to us)(මෙම දේපළ ගැන ගැන වැඩිදුර විස්තර දැනගැනීමට අපට කතා කරන විට, ඉහත සඳහන් කෝඩ් එක, අප වෙත පවසන්න.)Single story, Five bedrooms L"
https://ikman.lk/en/ad/modern-elegance-residence-mount-lavinia-for-sale-colombo,87000000,Mount lavinia,4,4,"3,720.0 sqft",10.1 perches,"(SE1549)🏡✨ Super Luxury 2-Storey House for Sale – Dehiwala ✨💰 Price: Rs. 87,000,000 – 87 Million – 870 Lakhs📍 Location: Dehiwala📐 House Size: 3,720 Sqft | Land Size: 10.1 Perches🛏️ Bedrooms: 4 + Maid "
https://ikman.lk/en/ad/brand-new-luxury-two-story-house-for-sale-at-silva-lane-kolonnawa-for-sale-colombo-1,34500000,SILVA LANE KOLONNAWA,4,3,"2,300.0 sqft",5.0 perches,"🏡 FOR SALE – MODERN 2-STORY HOUSE 🏡📍 Silva Lane, Kolonnawa✨ FEATURES:✅ 5 Perches | 🛏 4 Bedrooms | 🛁 3 Bathrooms✅ 2,300 Sqft of Spacious Living✅ Elegant Living Area & Modern Kitchen 🍽✅ Premium Waterpro"
https://ikman.lk/en/ad/elegance-house-for-sale-piliyandala-for-sale-colombo,40000000,Piliyandala Mavittara,4,3,"3,200.0 sqft",8.0 perches,400m to 255rd Mavittara junction1km to Bypass rd2km to Piliyandala town20ft Rd Facing Super House8.perch landTwo Story HouseModern Architecture Design HouseStandard Materials and fittings6.bedroom 4.b
https://ikman.lk/en/ad/dehiwala-house-for-sale-for-sale-colombo-216,150000000,Dehiwala,4,2,"4,000.0 sqft",15.0 perches,House & property for sale in highly residential area in dehiwala no 18 Charles place two hundred meters to Galle road 15 perchers ten million a perch price negotiable.To the zoo road five minutes walk
https://ikman.lk/en/ad/75-p-with-brand-new-house-sale-malabe-for-sale-colombo-2,38500000,Malabe,4,4,"2,600.0 sqft",7.5 perches,Brand New Luxury Two Storied House Sale Malabe7.5 Perches & 2600 SQ Ft20 Ft Road4 Bedrooms3 BathroomsServant Bathroom & RoomModern PantrySpacious Living / DiningBalconiesPipe Born Water / Electricity2
https://ikman.lk/en/ad/prime-4-bed-house-thalawathugoda-for-sale-colombo,85000000,Thalawathugoda,4,4,"3,800.0 sqft",10.5 perches,"(SE1610)🏡 Stunning 2-Storey House for Sale in Thalawathugoda Town 🌿💰 Price: Rs. 8,500,000 – 8.5 Million – 85 Lakhs (Negotiable)📍 Location: Thalawathugoda | 500m to Thalawathugoda Colour Light | 1.5 km"
https://ikman.lk/en/ad/modern-house-for-sale-in-kotte-for-sale-colombo-47,155000000,,2,2,"7,500.0 sqft",13.2 perches,🏡 FULLY FURNISHED MODERN LUXURY – 4 UNIT HOUSE FOR SALE (KOTTE)📍 Close to Jayawardenapura Hospital💰 NEW PRICE : Rs. 155 Million (Negotiable)📅 Please make a prior appointment🔹 Property Details• 13.2 Pe
https://ikman.lk/en/ad/piliyandala-makandana-brand-new-house-for-sale-for-sale-colombo-1,25000000,Piliyandala,3,2,"1,200.0 sqft",8.0 perches,"8 perch house ,3 bedrooms ,2 bathrooms with attached ,attractive pantry cupboards ,roller gate with wicked gate ,15 width access rd ,120 meters to 1/157 bus rd ,500 meters to Bandaragama bus rd ,house"
https://ikman.lk/en/ad/brand-new-two-story-house-for-sale-in-kottawa-pinhena-junction-for-sale-colombo-8,35000000,පිංහේන හංදිය ආසන්නයෙන්,3,3,"2,524.0 sqft",7.0 perches,𝐓𝐰𝐨 𝐒𝐭𝐨𝐫𝐲 𝐋𝐮𝐱𝐮𝐫𝐲 𝟑 𝐁𝐞𝐝𝐫𝐨𝐨𝐦𝐬 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐢𝐧 𝐊𝐨𝐭𝐭𝐚𝐰𝐚Two Story 3 Bedrooms Luxury House for sale in Kottawa - Pinhena junction. built high quality materials.  Very decent & calm environment. All the fa
https://ikman.lk/en/ad/brand-new-two-storey-house-for-sale-athurugiriya-for-sale-colombo-62,23000000,Athurugiriya,3,3,"1,290.0 sqft",7.0 perches,"(PR1525)🏡✨ Brand New Two-Storey House for Sale – Athurugiriya 🌿💰 Price: Rs. 23,000,000 – 23 Million – 230 Lakhs (Negotiable)🏠 Property Type: House📍 Location: Athurugiriya📏 Size:• Land: 7 Perches• Hous"
